	stim01	stim02	stim03	stim04	stim05	stim06	stim07	stim08	stim09	stim10	stim11	stim12	stim13	stim14	stim15	stim16	stim17	stim18	stim19	stim20	stim21	stim22	stim23	stim24	stim25	stim26
AKT1	0.663281157	0.842177333	0.214617837	0.250564965	0.741652124	0.346221775	0.133478556	0.695180176	0.847795039	0.837129349	8.502806856	1.198144785	0.69829376	0.407123364	1.350426428	0.915208775	0.524817244	0.354046887	11.73522908	1.178721941	0.124237441	0.889394638	0.406236804	0.530607127	0.35921299	0.41936651
CREB1	0.632573712	1.38692794	0.324919368	1.079439816	0.183346044	0.349965911	0.808491798	0.367698595	3.183441273	0.889511023	6.951572728	0.518318464	0.544007513	0.838445361	1.006737576	0.754874958	0.741460243	0.888641598	0.611016671	0.24534506	0.687330182	3.891649292	0.620502036	0.361783329	0.583408258	0.383614516
FAK1	0.91145588	0.274394608	0.626383794	1.01957703	0.395326706	0.150840191	0.618074884	1.09246769	0.759661969	0.961781539	3.015323028	0.472434422	0.126517173	0.310384017	1.270547686	5.186607757	1.336803219	0.409518514	1.355330554	0.94893391	0.501229674	3.188539518	0.376020517	0.404533145	0.615584723	0.189086806
GSK3B	0.112406695	1.095291379	0.773578191	0.507531993	1.070302857	0.848069921	0.697023695	0.53452163	0.941450439	0.497795439	3.20464158	2.887972424	0.595971724	0.429868982	0.835464234	1.236228231	0.931460187	0.154837356	4.558924142	0.316673343	0.008117578	0.387264893	0.600322161	1.112418968	0.650592674	0.336492545
HSPB1	1.705195976	0.72833239	1.401473164	0.903982121	0.490302914	0.169235388	0.405008727	0.666650375	0.898897229	0.280884366	9.364128339	0.668549128	0.286409629	0.314967378	0.759955978	1.269596746	0.233369301	0.05117387	0.032985831	0.553368427	0.118795853	13.57763054	0.036751521	1.018159144	0.444243699	0.587712784
IKBA	9.128742282	1.033516677	0.830072112	0.223676143	0.224081978	0.448997357	0.261085302	0.543580682	0.843199839	0.25995986	14.43699279	0.50625728	0.758226801	0.306591974	0.792160111	1.706219489	0.458827797	0.204076561	0.340999715	0.075589029	0.239129885	0.958709702	0.566403426	0.725803159	0.552040984	1.187384052
KS6A1	0.831865159	0.669489951	0.716484326	0.728340137	0.700454608	0.495600566	1.46703173	0.880509437	1.13503448	0.672772024	2.771625498	1.484642309	0.090010255	0.17315211	0.958235143	1.543658717	1.504195092	0.370610244	0.837748442	0.771648942	0.457068868	2.845246393	0.056012215	0.44513084	0.969376921	0.436483692
KS6B1	0.366769083	0.444178756	0.751336097	0.308768964	0.162311537	1.219446013	2.182726346	0.382018895	0.370900544	0.739129446	2.921325589	0.943321194	0.188616852	0.480379947	0.055327505	2.283532768	0.670578079	0.884139862	3.560702213	0.229912391	0.506999256	0.757551584	0.301892867	1.457355574	2.189579174	0.236472472
MK03	1.098759973	1.464363757	0.915432911	0.612844565	0.336313123	1.22029807	0.961459311	0.60012576	2.550095957	0.887831021	5.040904276	4.159349978	0.681404147	0.159835541	1.951472209	3.439208186	0.19572162	0.498970147	4.332542536	0.476642645	0.068957354	0.202617252	0.208366778	1.017879	1.110702466	0.141560072
MK09	0.823572322	0.218863903	1.001150287	0.805259972	0.452217655	1.0055391	1.052252923	1.005202371	0.864092463	0.730203319	2.681606171	0.594507371	0.407282591	0.299073989	1.204160635	0.926481646	0.572595692	0.971277206	0.700324916	0.853879776	0.561885626	1.01158352	0.081991547	0.718520232	1.560622869	0.532566048
MK14K11	2.731068131	0.641372677	0.583996491	0.22063545	0.335127657	0.059091328	0.509479933	0.700014559	1.849202468	0.542694735	16.11673725	0.44865404	0.243995028	0.241854512	1.067863777	0.581743795	0.474371703	0.068147098	0.829372848	0.263365235	0.123312012	12.15540453	0.279941704	1.211311347	0.402580014	0.486050831
MP2K1	1.171826736	0.949644366	1.60829055	1.113465497	0.215021374	1.142874539	0.834434265	0.271873944	1.144340543	0.642080991	1.095666267	5.206208667	0.262769596	0.443489635	1.11118124	4.335773462	0.561958377	0.318618454	5.324789897	0.619694174	0.012705709	0.794936199	0.231309362	1.082141478	0.662856485	0.173922343
MP2K6	0.427716815	0.589845052	0.974529119	0.637400376	1.009046454	0.191565893	1.637539195	1.179185609	0.527531016	0.567718518	1.013481408	0.37735856	1.062079303	0.838395956	0.757265892	1.667991963	0.921954009	0.866127369	0.535169801	0.791424551	1.430784773	0.862873337	0.678115191	0.830802503	1.17571656	0.592008405
PTN11	0.588405492	0.81180026	0.861703644	0.606262998	0.858531176	0.619965185	1.096533654	2.674219047	0.850587337	0.719968462	5.136824674	0.841835765	0.35737195	0.328393252	1.06274222	1.213971732	0.414741826	0.805137721	1.310977538	0.863116065	0.345324186	3.332267734	0.222934466	0.644272442	0.730184106	0.442123348
TF65	3.191431404	0.470697279	0.162034523	0.906469094	0.707643874	0.550803404	0.815509176	1.858478272	0.46944874	0.533249946	4.085150164	1.103711497	0.530960642	1.317670432	0.414331	0.871449251	0.699903041	0.215668769	0.958856319	1.38745806	0.220268134	1.264901565	0.489220009	0.712900164	1.8225244	0.312630757
WNK1	0.675064979	1.051233601	0.735578868	0.733664224	0.480476276	0.745912357	2.074616567	0.73780738	1.642246879	0.324662	5.004009097	1.467374264	0.441963867	0.633243235	0.528916455	3.319799443	0.886060718	0.469378707	4.72073053	0.461133345	0.376656396	1.390289093	0.620903589	0.52401234	0.85012609	0.392110927
ACTIN	1.0876185	0.817973845	0.91862763	0.435698449	0.525812277	0.871758438	1.81091569	1.139824875	0.910955504	0.494772424	6.390562882	0.212109355	0.582549849	0.615257827	1.039625255	0.352376181	0.92944436	1.299821231	1.975994431	0.543268818	1.004526014	1.056542764	1.045996798	1.370112236	0.674655223	0.721370863
